순위,영화명,개봉일,매출액 ,매출액 점유율,누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,제작사 ,배급사 ,등급 ,장르 ,감독 ,배우 
56 ,PMC: 더 벙커,2018년 12월 26일 수요일,9704247367 ,0.5%,9704247367 ,1179031 ,1179031 ,1081 ,26690 ,한국,한국,(주)퍼펙트스톰필름,씨제이이앤엠(주),15세이상관람가,액션,김병우,"하정우,이선균,제니퍼 엘,이상원"
57 ,하루,2017년 6월 15일 목요일,9072737842 ,0.5%,9072737842 ,1129609 ,1129609 ,781 ,45808 ,한국,한국,(주)라인필름,CGV아트하우스,15세이상관람가,스릴러,조선호,"김명민,변요한,유재명,조은형,신혜선,박정민,이승민"
58 ,챔피언,2018년 5월 1일 화요일,9471138230 ,0.5%,9471138230 ,1128774 ,1128774 ,874 ,47320 ,한국,한국,(주)코코너,워너브러더스 코리아(주),12세이상관람가,드라마,김용완,"마동석,권율,한예리,박성일,유지연,이규호,이동진,이수정,김정화,이혜민,김지연,김지환,김태현,오승환,유지연,박세준,전민지,전혜원,정승환,박지연,김건,김동현,김동현,김미미,홍지원,김재민,김수진,김수진"
59 ,염력,2018년 1월 31일 수요일,7484644112 ,0.4%,7484644112 ,990104 ,990104 ,1099 ,45623 ,한국,한국,(주)영화사레드피터,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"드라마,코미디",연상호,"류승룡,심은경,박정민,김민재,정유미,이승용,예수정,이기환,이동근,김재원,백성욱,이재현,이정은,김주연,이지혜,이지훈,이현정,김흥태,나성식,박재규,조웅희,김기천,김기철,김기범,김대근,최영우,최지연,황영수"
60 ,불한당: 나쁜 놈들의 세상,2017년 5월 17일 수요일,7678945125 ,0.4%,7678945125 ,954444 ,954444 ,860 ,38922 ,한국,한국,"씨제이이앤엠(주),(주)바른손",씨제이이앤엠(주),청소년관람불가,"범죄,액션,드라마",변성현,"설경구,임시완,김희원,전혜진,이경영,김성오,허준호,박정주,박지호,박형우,임효은,정기욱,주현수,윤준희,최형욱,이미소,이시훈,이영호,이은비,이인규,이정우,이정호,김말구,문지윤,박수영"
61 ,인랑,2018년 7월 25일 수요일,7006622673 ,0.4%,7006622673 ,898945 ,898945 ,1085 ,25427 ,한국,한국,(주)루이스 픽쳐스,워너브러더스 코리아(주),15세이상관람가,"SF,액션",김지운,"강동원,한효주,정우성,김무열,최민호,한예리,신은수,허준호,문예원,김현준,이가경,박형수,전여빈,김기태,이동하,김재영,이승진,이시형,서영민,선호삼,이진한,이찬희,이확광,임서영,안성봉,양도현,김현창,박영서,박주희,정원종,조아라,김기범,최진호,허지원,김성호,김성호,김예은,김우진,소윤호"
62 ,극장판 헬로카봇 : 백악기 시대,2018년 8월 1일 수요일,6589532500 ,0.4%,6589532500 ,879449 ,879449 ,758 ,16173 ,한국,한국,(주)초이락컨텐츠팩토리,(주)넥스트엔터테인먼트월드(NEW),전체관람가,애니메이션,"최신규,김진철","이지현,김용준,양정화,홍범기,엄상현,사문영,위훈,민응식,신용우,안소이,한신,이현,김상백,임정길,김두용,이지현,한신"
63 ,대립군,2017년 5월 31일 수요일,6276963402 ,0.4%,6276963402 ,837500 ,837500 ,809 ,29085 ,한국,한국,"리얼라이즈픽쳐스(주),이십세기폭스 인터내셔널 프로덕션,(주)베르디미디어,(주)블러썸픽쳐스",이십세기폭스코리아(주),15세이상관람가,"드라마,사극",정윤철,"이정재,여진구,김무열,이솜,박원상,배수빈,김명곤,박해준,이한성,박정환,박지환,박지훈,손승훈,손영진,정연수,지경현,유명환,윤성민,이가경,이경수,이경재,이상현,이승철,이승훈,이주영,박호산,김원진,김재록"
64 ,뽀로로 극장판 공룡섬 대모험,2017년 12월 7일 목요일,6228590300 ,0.3%,6228590300 ,827335 ,827335 ,803 ,19948 ,한국,한국,(주)오콘,(주)넥스트엔터테인먼트월드(NEW),전체관람가,애니메이션,"김현호,윤제완","이선,이미자,함수정,홍소영,정미숙,김서영,김환진,엄상현"
65 ,레슬러,2018년 5월 9일 수요일,6481379657 ,0.4%,6481379657 ,771141 ,771141 ,957 ,43079 ,한국,한국,(주)안나푸르나필름,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"드라마,코미디",김대웅,"유해진,이성경,나문희,성동일,진경,황우슬혜,김태훈,박규영,이한서,최유화,이예원,이배,이미경,배수현,이윤호,이주한,김진철,김태윤,김태훈,김희원,박성범,정혜경,김민재,김명희,한경미,김민혜"
66 ,상류사회,2018년 8월 29일 수요일,6313416163 ,0.4%,6313416163 ,768442 ,768442 ,867 ,41725 ,한국,한국,(주)하이브미디어코프,롯데컬처웍스(주)롯데엔터테인먼트,청소년관람불가,드라마,변혁,"신현숙,박해일,수애,윤제문,라미란,이진욱,김규선,한주영,김강우,이강진,이수민,이수일,이수정,김정현,백승환,이정철,김준희,이현승,김지현,김근영,김진성,김진호,김태희,김현미,양정인,김형석,여상은,윤정희,문형수,임용순,박성훈,박아영,장혁진,정승준,박주희,정자영,박지원,정현석,조준희,김경민,김근영,김다솜,김다정,김대근,김동욱,김디나,최정윤,한지은,한희정,한희정,황지현,김미희,김선희,김시원,김성준,김건우"
67 ,물괴,2018년 9월 12일 수요일,6106452954 ,0.3%,6106452954 ,723622 ,723622 ,1183 ,46022 ,한국,한국,(주)태원엔터테인먼트,"롯데컬처웍스(주)롯데엔터테인먼트,씨네그루(주)키다리이엔티",15세이상관람가,"액션,사극",허종호,"김명민,김인권,이혜리,최우식,박성웅,박희순,이경영,이강진,이규현,이기창,이동훈,이상철,이정훈,이정훈,김종윤,김주연,이찬유,김학충,김혜린,김호진,오진호,유병선,윤보현,박건우,박소은,정자영,박하현,강성훈,강태영,정효경,조원희,최윤지,최윤지,최재욱,김성수,김용호,김영철"
68 ,미쓰백,2018년 10월 11일 목요일,6040344066 ,0.3%,6040344066 ,722182 ,722182 ,671 ,41961 ,한국,한국,영화사 배,(주)리틀빅픽쳐스,15세이상관람가,드라마,이지원,"한지민,김시아,이희준,권소현,백수장,장영남,김선영,이주영,이정은,전석호,조민준,윤송아,이승민,신수정,이지원,김지혜,김지희,박지선,강가미,김미선,김민기,한용환,김보민,김선영"
69 ,신비아파트: 금빛 도깨비와 비밀의 동굴,2018년 7월 25일 수요일,5001247250 ,0.3%,5001247250 ,678091 ,678091 ,762 ,16175 ,한국,한국,"씨제이이앤엠(주),(주)칵테일 미디어",씨제이이앤엠(주),전체관람가,"애니메이션,판타지,어드벤처",김병갑,"조현정,김영은,김채하,신용우,여민정,심규혁,이상호,이소은,정유정,김율,최재호,최재호"
70 ,아빠는 딸,2017년 4월 12일 수요일,5054757395 ,0.3%,5054757395 ,647305 ,647305 ,586 ,33263 ,한국,한국,영화사김치(주),메가박스중앙(주)플러스엠,12세이상관람가,코미디,김형협,"윤제문,정소민,이일화,신구,이미도,강기영,박혁권,허가윤,도희,박희진,정유동,윤진영,이정수,이유진"
71 ,버닝,2018년 5월 17일 목요일,4716771098 ,0.3%,4716771098 ,528435 ,528435 ,739 ,26514 ,한국,한국,"파인하우스필름(주),나우필름(주)",CGV아트하우스,청소년관람불가,미스터리,이창동,"유아인,스티븐 연,전종서,이고운,이수정,배민정,이승호,이영석,김정은,김정현,이현수,김지은,김지현,김현우,유혜승,문성근,임용순,조용준,최선호,최선호,김건희,김명호,함선일,김민성,김수경,김민희,김민지,이봉련"
72 ,7년의 밤,2018년 3월 28일 수요일,3969337524 ,0.2%,3969337524 ,528007 ,528007 ,872 ,26804 ,한국,한국,"(주)바른손,씨제이이앤엠(주)",씨제이이앤엠(주),15세이상관람가,"스릴러,드라마",추창민,"류승룡,장동건,송새벽,고경표,이레,탕준상,이상희,문정희,서현우,이동민,이동훈,이동희,이상민,이상영,이성훈,김재철,이정현,김주하,이호준,김효인,박노찬,장승화,박정숙,박정주,최대룡,김현,김은경,김원진,김병석"
73 ,침묵,2017년 11월 2일 목요일,3930219264 ,0.2%,3930219264 ,494097 ,494097 ,634 ,23228 ,한국,한국,(주)용필름,씨제이이앤엠(주),15세이상관람가,드라마,정지우,"최민식,박신혜,류준열,이하늬,박해준,조한철,이수경,박성희,박태강,박호산,송준,안성봉,채현우,이상철,이연,이정민,이정민,이태형,임승묵,박규영,남명렬,박형수,김대현,서현우"
74 ,변산,2018년 7월 4일 수요일,4016562273 ,0.2%,4016562273 ,490519 ,490519 ,763 ,27504 ,한국,한국,변산문화산업전문(유),메가박스중앙(주)플러스엠,15세이상관람가,드라마,이준익,"박정민,김고은,장항선,고준,신현빈,정규수,김준한,배제기,최정헌,한별,김형주,차순배,신문성,이세랑,이고은,이민섭,이성호,방준석,이승훈,김정현,이재성,이정현,김지성,이현정,이혜원,김진표,김형주,김희주,박수연,박지선,강현구,고유,정호연,차신혜,김민식,최정현,김세겸,김수정,박수연"
75 ,리얼,2017년 6월 28일 수요일,3357912530 ,0.2%,3357912530 ,470165 ,470165 ,970 ,25141 ,한국,한국,(주)코브픽쳐스,씨제이이앤엠(주),청소년관람불가,액션,이사랑,"김수현,성동일,이성민,최진리,조우진,이경영,김홍파,정인겸,최권,한지은,문광무,박서준,장현도,전누리,최안나,이경민,이상훈,이선민,이선민,이성민,이세원,이수연,이정현,이태형,황수진,이형주,임지혜,고규필,황성준,배수지"
76 ,동네사람들,2018년 11월 7일 수요일,3818515112 ,0.2%,3818515112 ,461693 ,461693 ,731 ,23598 ,한국,한국,(주)데이드림,(주)리틀빅픽쳐스,15세이상관람가,"액션,스릴러",임진순,"마동석,김새론,이상엽,진선규,장광,신세휘,오희준,배진아,이광기,이상훈,이태규,김지은,안성일,양기원,강민준,김다영,김대현,김동환,최정현,최혜진,김새벽,김송이,김수영"
77 ,원더풀 고스트,2018년 9월 26일 수요일,3720931600 ,0.2%,3720931600 ,450374 ,450374 ,351 ,13999 ,한국,한국,(주)데이드림엔터테인먼트,"(주)제이앤씨미디어그룹,TCO(주)더콘텐츠온",12세이상관람가,"코미디,드라마,범죄",조원희,"마동석,김영광,이유영,이서진,김정수,이승창,이영석,서정훈,서준호,이태규,김지은,김지은,류성철,윤성민,박근수,정재헌,최유리,김민석,김선문,김선웅,김영환,김선경,김동준"
78 ,반드시 잡는다,2017년 11월 29일 수요일,3326439772 ,0.2%,3326439772 ,446780 ,446780 ,565 ,24559 ,한국,한국,"(주)에이디사공육,씨네주 유한회사",(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,스릴러,김홍선,"백윤식,성동일,천호진,배종옥,조달환,김혜인,박형수,손종학,이칸희,박지현,정유민,이정은,조건희,이재윤,천준호,강병희,권인호,선호삼,강말금,신문성,오희준"
79 ,원라인,2017년 3월 29일 수요일,3319946433 ,0.2%,3319946433 ,435142 ,435142 ,613 ,20792 ,한국,한국,"(주)미인픽쳐스,(주)곽픽쳐스",(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,범죄,양경모,"임시완,진구,박병은,이동휘,김선영,박종환,왕지원,박유환,안세하,조우진,박형수,박건도,박지홍,안지현,유요한,이도현,최창국,이석호,한민철,이영호,홍성호,김말구,김태준,김근영,임지환,김대현,황성준,오민애"
80 ,흥부: 글로 세상을 바꾼 자,2018년 2월 14일 수요일,3381050200 ,0.2%,3381050200 ,416303 ,416303 ,627 ,18671 ,한국,한국,"(주)영화사 궁,(주)발렌타인필름",롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,사극,조근현,"김규백,정우,김주혁,정진영,김원해,정상훈,정해인,곽동연,천우희,진구,지웅배,김태준,김현목,이은,이상영,이상영,이소라,이승원,이예진,이용출,이유진,이재석,이재윤,이정민,김정훈,손종민,송은지,이진경,이진경,이태영,김지호,김태준,김하은,김현민,김현서,김현정,김혜림,염재민,유병선,윤석진,박가영,박윤호,전현우,박정수,박정우,정연수,박지영,박지혜,정지우,김호경,강동우,최동욱,권유진,김명준,최유리,최정은,최진우,최은지,홍진기,김민석,김성현,김수혁,김원진,김아영,김선권,김정현"
81 ,넛잡 2,2017년 10월 3일 화요일,3069388100 ,0.2%,3069388100 ,411787 ,411787 ,526 ,10449 ,한국,"한국,캐나다,중국","(주)레드로버,툰박스 엔터테인먼트",롯데쇼핑㈜롯데엔터테인먼트,전체관람가,"애니메이션,어드벤처,코미디,가족",캘런 브런커,"윌 아넷,캐서린 헤이글,성룡,이사벨라 모너"
82 ,보통사람,2017년 3월 23일 목요일,2956397623 ,0.2%,2956397623 ,383336 ,383336 ,621 ,19928 ,한국,한국,"(주)트리니티엔터테인먼트,(주)영화사장춘",오퍼스픽쳐스(유),15세이상관람가,드라마,김봉한,"손현주,장혁,김상호,라미란,정만식,조달환,지승현,오연아,강현구,이학렬,이형기,박형수,서주연,정원태,양재영,윤준호,이영호,이유진,이승용,김영"
83 ,대장 김창수,2017년 10월 19일 목요일,2879121115 ,0.2%,2879121115 ,381483 ,381483 ,748 ,21745 ,한국,한국,"(주)비에이엔터테인먼트,(주)무비스퀘어","씨네그루(주)키다리이엔티,주식회사 키위컴퍼니",12세이상관람가,드라마,이원태,"조진웅,송승헌,정만식,정진영,신정근,유승목,정규수,이서원,곽동연,박소담,박재영,박정숙,박지훈,서주연,최서윤,이신우,이원태,이정철,이정현,홍재식,황정용,염혜란"
84 ,점박이 한반도의 공룡2 : 새로운 낙원,2018년 12월 25일 화요일,2941541400 ,0.2%,2941541400 ,375312 ,375312 ,672 ,6495 ,한국,한국,(주)드림써치C&C,(주)넥스트엔터테인먼트월드(NEW),전체관람가,애니메이션,한상호,"박희순,라미란,김성균,김경진,김재훈,김흥래,윤정화,이민규,이준호,이호준,최윤정"
85 ,석조저택 살인사건,2017년 5월 9일 화요일,2829106886 ,0.2%,2829106886 ,353517 ,353517 ,539 ,17925 ,한국,한국,주식회사 영화사다,씨네그루(주)키다리이엔티,15세이상관람가,스릴러,"정식,김휘","황인아,고수,김주혁,문성근,박성웅,임화영,임태훈,전민,신영진,신영진,정우식,정유빈,조원진,조유찬,조한별,이대영,이유진,이유진,이자은,이정섭,이주연,이주연,이주현,홍의정,황재욱,고민우,한지은"
86 ,싱글라이더,2017년 2월 22일 수요일,2685519021 ,0.2%,2685519021 ,351276 ,351276 ,576 ,16746 ,한국,한국,(주)퍼펙트스톰필름,워너브러더스 코리아(주),15세이상관람가,드라마,이주영,"진남수,이병헌,공효진,안소희,장요한,최병구,이상원,연송하,백수장"
87 ,7호실,2017년 11월 15일 수요일,2677516639 ,0.1%,2677516639 ,347823 ,347823 ,629 ,21853 ,한국,한국,(주)명필름,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,코미디,이용승,"신하균,도경수,김동영,김종수,김종구,박수영,전석호,황정민,정희태,김도윤,정승길,박소영,조민성,윤세현,이광기,이재혁,김성종,우지현"
